generation,full_path,filename,size,modified_utc,sha256,comparison_status,hash_movement,fresh_generation_role
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\dedicated_server.1.log","dedicated_server.1.log","457275","2026-08-07T15:27:52.932777+00:00","0C35A188BC67ACFE8495CB2C77EE497D18E13C317308D2BC7DFAD132E0DB68F0","changed_or_rotated","rotated_to:dedicated_server.2.log",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\dedicated_server.2.log","dedicated_server.2.log","524250","2026-08-07T15:05:07.040161+00:00","E141340CF659AD7B8CBB92CE794883ABCF3BF55EBFB023BD9FB7F1FD35AAB147","changed_or_rotated","rotated_to:dedicated_server.3.log",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\dedicated_server.3.log","dedicated_server.3.log","524245","2026-08-07T14:39:45.830383+00:00","F04F2580856FBB71DE55EC432CBC969FB2C7EFC0342D99FA728FAAECAE803EA7","changed_or_rotated","rotated_to:dedicated_server.4.log",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\dedicated_server.4.log","dedicated_server.4.log","449637","2026-08-07T14:11:03.475643+00:00","B2707464B431BEFB94DCC3B76A8E45B40F2B62AE4A8F1E04B9EBBB75CE5448A7","changed_or_rotated","rotated_to:dedicated_server.5.log",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\dedicated_server.5.log","dedicated_server.5.log","74596","2026-08-07T13:47:49.460042+00:00","A01FE003BBCEC20EA7710B55881A2CD0B2AB9A99EC51AA4BDCBD8798B0B7C660","changed_or_rotated","evicted_from_rotation_window",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\dedicated_server.log","dedicated_server.log","3848","2026-08-09T18:57:23.145141+00:00","0298E891DFDE67E77DD2DF961A3489E2193BE1132C933254D8A9EB0A86BBBBB4","changed_or_rotated","rotated_to:dedicated_server.1.log",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\ecs.log","ecs.log","0","2026-08-09T18:49:41.061358+00:00","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","unchanged","",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\error.1.log","error.1.log","524160","2026-08-09T18:57:23.040352+00:00","38DCB99CEE27695E9540B1A67F59F72137507C82F0A75D68AB2CB2E16DAE5B63","changed_or_rotated","evicted_from_rotation_window",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\error.2.log","error.2.log","524138","2026-08-09T18:57:22.924664+00:00","F9DE9E0946B9A020B1E739F2637E620103E70A8971E20B553994E65F854CB5A6","changed_or_rotated","evicted_from_rotation_window",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\error.3.log","error.3.log","524175","2026-08-09T18:57:22.329440+00:00","FF348FAE9B77EF7229110DF4285A494B59063E9B5D4D48B700AA58C5D16EAAED","changed_or_rotated","evicted_from_rotation_window",""
